word	letter	block	has_phonetic
soak	s	S-tail	no
soar	s	S-tail	no
sob	s	S-tail	no
sober	s	S-tail	no
soccer	s	S-tail	no
sociable	s	S-tail	no
socialism	s	S-tail	no
socialist	s	S-tail	no
socialize	s	S-tail	no
sociologist	s	S-tail	no
sociology	s	S-tail	no
socket	s	S-tail	no
soda	s	S-tail	no
sodium	s	S-tail	no
soften	s	S-tail	no
sole	s	S-tail	no
solely	s	S-tail	no
solemn	s	S-tail	no
solemnity	s	S-tail	no
solicit	s	S-tail	no
solicitor	s	S-tail	no
solid	s	S-tail	no
solidarity	s	S-tail	no
solidify	s	S-tail	no
solidity	s	S-tail	no
solitary	s	S-tail	no
solitude	s	S-tail	no
solo	s	S-tail	no
soluble	s	S-tail	no
solvent	s	S-tail	no
somehow	s	S-tail	no
sometime	s	S-tail	no
somewhat	s	S-tail	no
soothe	s	S-tail	no
sophisticated	s	S-tail	no
sophistication	s	S-tail	no
sore	s	S-tail	no
sorrow	s	S-tail	no
sorrowful	s	S-tail	no
soul	s	S-tail	no
southeastern	s	S-tail	no
southwestern	s	S-tail	no
souvenir	s	S-tail	no
sovereign	s	S-tail	no
sovereignty	s	S-tail	no
spacecraft	s	S-tail	no
spacious	s	S-tail	no
spade	s	S-tail	no
spaghetti	s	S-tail	no
span	s	S-tail	no
spare	s	S-tail	no
sparingly	s	S-tail	no
spark	s	S-tail	no
sparkle	s	S-tail	no
spatial	s	S-tail	no
spear	s	S-tail	no
specialist	s	S-tail	no
speciality	s	S-tail	no
specialization	s	S-tail	no
specialize	s	S-tail	no
specialty	s	S-tail	no
specifically	s	S-tail	no
specification	s	S-tail	no
specify	s	S-tail	no
specimen	s	S-tail	no
spectacle	s	S-tail	no
spectacular	s	S-tail	no
spectator	s	S-tail	no
spectrum	s	S-tail	no
speculate	s	S-tail	no
speculation	s	S-tail	no
speculative	s	S-tail	no
speechless	s	S-tail	no
speeding	s	S-tail	no
speedy	s	S-tail	no
spelling	s	S-tail	no
spending	s	S-tail	no
sphere	s	S-tail	no
spherical	s	S-tail	no
spice	s	S-tail	no
spicy	s	S-tail	no
spider	s	S-tail	no
spill	s	S-tail	no
spin	s	S-tail	no
spinal	s	S-tail	no
spine	s	S-tail	no
spiral	s	S-tail	no
spiritual	s	S-tail	no
spite	s	S-tail	no
splash	s	S-tail	no
splendor	s	S-tail	no
split	s	S-tail	no
spoil	s	S-tail	no
spokesman	s	S-tail	no
spokesperson	s	S-tail	no
spokeswoman	s	S-tail	no
sponge	s	S-tail	no
spongy	s	S-tail	no
sponsor	s	S-tail	no
sponsorship	s	S-tail	no
spontaneity	s	S-tail	no
spontaneous	s	S-tail	no
spoonful	s	S-tail	no
sportsman	s	S-tail	no
sportswoman	s	S-tail	no
spotlight	s	S-tail	no
spouse	s	S-tail	no
sprawl	s	S-tail	no
spray	s	S-tail	no
sprinkle	s	S-tail	no
spur	s	S-tail	no
spy	s	S-tail	no
squad	s	S-tail	no
squeeze	s	S-tail	no
stab	s	S-tail	no
stability	s	S-tail	no
stabilize	s	S-tail	no
stack	s	S-tail	no
stage	s	S-tail	no
stagger	s	S-tail	no
stagnant	s	S-tail	no
stagnate	s	S-tail	no
stagnation	s	S-tail	no
stain	s	S-tail	no
stainless	s	S-tail	no
stair	s	S-tail	no
staircase	s	S-tail	no
stake	s	S-tail	no
stale	s	S-tail	no
stalk	s	S-tail	no
stall	s	S-tail	no
stammer	s	S-tail	no
stance	s	S-tail	no
standardization	s	S-tail	no
standardize	s	S-tail	no
standby	s	S-tail	no
standpoint	s	S-tail	no
staple	s	S-tail	no
stapler	s	S-tail	no
stark	s	S-tail	no
starry	s	S-tail	no
starter	s	S-tail	no
startle	s	S-tail	no
starvation	s	S-tail	no
starve	s	S-tail	no
statement	s	S-tail	no
static	s	S-tail	no
stationary	s	S-tail	no
stationery	s	S-tail	no
statistic	s	S-tail	no
statistical	s	S-tail	no
statue	s	S-tail	no
status	s	S-tail	no
statute	s	S-tail	no
statutory	s	S-tail	no
steadily	s	S-tail	no
steady	s	S-tail	no
steamer	s	S-tail	no
steamy	s	S-tail	no
steel	s	S-tail	no
steer	s	S-tail	no
stem	s	S-tail	no
stereotype	s	S-tail	no
stern	s	S-tail	no
sticky	s	S-tail	no
stiff	s	S-tail	no
stiffen	s	S-tail	no
stifle	s	S-tail	no
stigma	s	S-tail	no
stimulant	s	S-tail	no
stimulate	s	S-tail	no
stimulation	s	S-tail	no
stimulus	s	S-tail	no
sting	s	S-tail	no
stipulate	s	S-tail	no
stipulation	s	S-tail	no
stir	s	S-tail	no
stitch	s	S-tail	no
stock	s	S-tail	no
stony	s	S-tail	no
stool	s	S-tail	no
stoop	s	S-tail	no
stoppage	s	S-tail	no
storage	s	S-tail	no
stormy	s	S-tail	no
straighten	s	S-tail	no
straightforward	s	S-tail	no
strain	s	S-tail	no
strait	s	S-tail	no
strand	s	S-tail	no
strangle	s	S-tail	no
strap	s	S-tail	no
strategic	s	S-tail	no
stray	s	S-tail	no
streak	s	S-tail	no
streamline	s	S-tail	no
strengthen	s	S-tail	no
stressful	s	S-tail	no
stretch	s	S-tail	no
stride	s	S-tail	no
striking	s	S-tail	no
string	s	S-tail	no
strip	s	S-tail	no
stripe	s	S-tail	no
strive	s	S-tail	no
stroke	s	S-tail	no
stroll	s	S-tail	no
structural	s	S-tail	no
structure	s	S-tail	no
stubborn	s	S-tail	no
studio	s	S-tail	no
stuff	s	S-tail	no
stuffing	s	S-tail	no
stuffy	s	S-tail	no
stumble	s	S-tail	no
stump	s	S-tail	no
stun	s	S-tail	no
stunning	s	S-tail	no
stupidity	s	S-tail	no
sturdy	s	S-tail	no
style	s	S-tail	no
stylish	s	S-tail	no
subjective	s	S-tail	no
submarine	s	S-tail	no
submerge	s	S-tail	no
submission	s	S-tail	no
submissive	s	S-tail	no
submit	s	S-tail	no
subordinate	s	S-tail	no
subordination	s	S-tail	no
subscribe	s	S-tail	no
subscriber	s	S-tail	no
subscription	s	S-tail	no
subsequent	s	S-tail	no
subsidize	s	S-tail	no
subsidy	s	S-tail	no
subsistence	s	S-tail	no
substance	s	S-tail	no
substantial	s	S-tail	no
substitution	s	S-tail	no
subtle	s	S-tail	no
subtlety	s	S-tail	no
subtract	s	S-tail	no
subtraction	s	S-tail	no
suburb	s	S-tail	no
suburban	s	S-tail	no
subway	s	S-tail	no
succession	s	S-tail	no
successive	s	S-tail	no
successor	s	S-tail	no
suck	s	S-tail	no
suddenly	s	S-tail	no
sue	s	S-tail	no
suffering	s	S-tail	no
suffice	s	S-tail	no
sufficient	s	S-tail	no
suggestive	s	S-tail	no
suicidal	s	S-tail	no
suicide	s	S-tail	no
suitable	s	S-tail	no
suitcase	s	S-tail	no
suite	s	S-tail	no
sulfur	s	S-tail	no
sulphur	s	S-tail	no
sum	s	S-tail	no
summarize	s	S-tail	no
summary	s	S-tail	no
summit	s	S-tail	no
summon	s	S-tail	no
superb	s	S-tail	no
superficial	s	S-tail	no
superintendent	s	S-tail	no
superiority	s	S-tail	no
superstition	s	S-tail	no
superstitious	s	S-tail	no
supervise	s	S-tail	no
supervision	s	S-tail	no
supervisor	s	S-tail	no
supplement	s	S-tail	no
supplementary	s	S-tail	no
supplier	s	S-tail	no
supporter	s	S-tail	no
supportive	s	S-tail	no
supposedly	s	S-tail	no
supposition	s	S-tail	no
suppress	s	S-tail	no
suppression	s	S-tail	no
suppressive	s	S-tail	no
supremacy	s	S-tail	no
supreme	s	S-tail	no
surface	s	S-tail	no
surfing	s	S-tail	no
surge	s	S-tail	no
surgeon	s	S-tail	no
surgery	s	S-tail	no
surgical	s	S-tail	no
surname	s	S-tail	no
surpass	s	S-tail	no
surplus	s	S-tail	no
surrender	s	S-tail	no
surroundings	s	S-tail	no
surveillance	s	S-tail	no
survival	s	S-tail	no
survivor	s	S-tail	no
susceptible	s	S-tail	no
suspend	s	S-tail	no
suspense	s	S-tail	no
suspicion	s	S-tail	no
suspicious	s	S-tail	no
sustain	s	S-tail	no
sustainability	s	S-tail	no
sustainable	s	S-tail	no
swallow	s	S-tail	no
swallowl	s	S-tail	no
swamp	s	S-tail	no
swap	s	S-tail	no
sway	s	S-tail	no
swear	s	S-tail	no
sweat	s	S-tail	no
swell	s	S-tail	no
swift	s	S-tail	no
swimmer	s	S-tail	no
swipe	s	S-tail	no
sword	s	S-tail	no
sy	s	S-tail	no
symbolic	s	S-tail	no
symmetric	s	S-tail	no
symmetry	s	S-tail	no
sympathetic	s	S-tail	no
sympathize	s	S-tail	no
symphony	s	S-tail	no
symposium	s	S-tail	no
syndicate	s	S-tail	no
syndrome	s	S-tail	no
synonym	s	S-tail	no
synthesis	s	S-tail	no
synthesize	s	S-tail	no
synthetic	s	S-tail	no
systematic	s	S-tail	no
systematically	s	S-tail	no
tablet	t	T-Z	no
taboo	t	T-Z	no
tack	t	T-Z	no
tackle	t	T-Z	no
tact	t	T-Z	no
tactful	t	T-Z	no
tactic	t	T-Z	no
takeoff	t	T-Z	no
talented	t	T-Z	no
talkative	t	T-Z	no
tan	t	T-Z	no
tangible	t	T-Z	no
tangle	t	T-Z	no
tanker	t	T-Z	no
target	t	T-Z	no
tariff	t	T-Z	no
tasty	t	T-Z	no
taxation	t	T-Z	no
teaching	t	T-Z	no
tech	t	T-Z	no
technique	t	T-Z	no
technological	t	T-Z	no
teen	t	T-Z	no
telecommunications	t	T-Z	no
telescopic	t	T-Z	no
teller	t	T-Z	no
telling	t	T-Z	no
temper	t	T-Z	no
temperament	t	T-Z	no
tempo	t	T-Z	no
temporal	t	T-Z	no
temporarily	t	T-Z	no
tenant	t	T-Z	no
tennis	t	T-Z	no
tentative	t	T-Z	no
tenure	t	T-Z	no
terminate	t	T-Z	no
termination	t	T-Z	no
terrace	t	T-Z	no
terrain	t	T-Z	no
terribly	t	T-Z	no
terrific	t	T-Z	no
territorial	t	T-Z	no
terrorism	t	T-Z	no
terrorist	t	T-Z	no
tertiary	t	T-Z	no
testify	t	T-Z	no
testimony	t	T-Z	no
texture	t	T-Z	no
Thanksgiving	t	T-Z	no
theater	t	T-Z	no
theatrical	t	T-Z	no
theme	t	T-Z	no
therapeutic	t	T-Z	no
therapist	t	T-Z	no
therapy	t	T-Z	no
thermal	t	T-Z	no
thesis	t	T-Z	no
thigh	t	T-Z	no
thorn	t	T-Z	no
thorny	t	T-Z	no
threshold	t	T-Z	no
thrift	t	T-Z	no
thrifty	t	T-Z	no
thrill	t	T-Z	no
thriller	t	T-Z	no
throne	t	T-Z	no
thumb	t	T-Z	no
thunderous	t	T-Z	no
tickle	t	T-Z	no
tidal	t	T-Z	no
tighten	t	T-Z	no
tigress	t	T-Z	no
tile	t	T-Z	no
tilt	t	T-Z	no
timber	t	T-Z	no
timely	t	T-Z	no
timid	t	T-Z	no
timing	t	T-Z	no
tireless	t	T-Z	no
tiresome	t	T-Z	no
tiring	t	T-Z	no
title	t	T-Z	no
toil	t	T-Z	no
token	t	T-Z	no
tolerable	t	T-Z	no
tolerant	t	T-Z	no
toll	t	T-Z	no
tonnage	t	T-Z	no
topic	t	T-Z	no
topical	t	T-Z	no
topple	t	T-Z	no
tornado	t	T-Z	no
toss	t	T-Z	no
tournament	t	T-Z	no
tow	t	T-Z	no
township	t	T-Z	no
toxic	t	T-Z	no
tract	t	T-Z	no
trademark	t	T-Z	no
trafficking	t	T-Z	no
tragic	t	T-Z	no
tragically	t	T-Z	no
trailer	t	T-Z	no
trainee	t	T-Z	no
trait	t	T-Z	no
tram	t	T-Z	no
tranquil	t	T-Z	no
tranquility	t	T-Z	no
transaction	t	T-Z	no
transcend	t	T-Z	no
transcript	t	T-Z	no
transference	t	T-Z	no
transient	t	T-Z	no
transit	t	T-Z	no
transition	t	T-Z	no
transitional	t	T-Z	no
translation	t	T-Z	no
translator	t	T-Z	no
transmitter	t	T-Z	no
transparency	t	T-Z	no
transplant	t	T-Z	no
transplantation	t	T-Z	no
trash	t	T-Z	no
trauma	t	T-Z	no
traumatic	t	T-Z	no
tre	t	T-Z	no
tread	t	T-Z	no
treasurer	t	T-Z	no
treasury	t	T-Z	no
trek	t	T-Z	no
trench	t	T-Z	no
triangular	t	T-Z	no
tribal	t	T-Z	no
tribe	t	T-Z	no
tribune	t	T-Z	no
tribute	t	T-Z	no
trickle	t	T-Z	no
tricky	t	T-Z	no
trifle	t	T-Z	no
trigger	t	T-Z	no
trillion	t	T-Z	no
triple	t	T-Z	no
triumphant	t	T-Z	no
trivial	t	T-Z	no
trolley	t	T-Z	no
trophy	t	T-Z	no
tropic	t	T-Z	no
truly	t	T-Z	no
trustee	t	T-Z	no
truthful	t	T-Z	no
trying	t	T-Z	no
tub	t	T-Z	no
tuck	t	T-Z	no
tug	t	T-Z	no
tumble	t	T-Z	no
tumor	t	T-Z	no
turbulence	t	T-Z	no
turbulent	t	T-Z	no
turmoil	t	T-Z	no
turnout	t	T-Z	no
turnover	t	T-Z	no
turtle	t	T-Z	no
tutor	t	T-Z	no
tutorial	t	T-Z	no
ugliness	u	T-Z	no
ugly	u	T-Z	no
ultimately	u	T-Z	no
ultra	u	T-Z	no
unanimous	u	T-Z	no
uncertainty	u	T-Z	no
underdeveloped	u	T-Z	no
underestimate	u	T-Z	no
underlie	u	T-Z	no
underlying	u	T-Z	no
undermine	u	T-Z	no
undertaking	u	T-Z	no
underwear	u	T-Z	no
unemployed	u	T-Z	no
unfold	u	T-Z	no
unification	u	T-Z	no
uniformity	u	T-Z	no
unify	u	T-Z	no
unilateral	u	T-Z	no
unleash	u	T-Z	no
unprecedented	u	T-Z	no
unveil	u	T-Z	no
upgrade	u	T-Z	no
uphold	u	T-Z	no
upload	u	T-Z	no
uprising	u	T-Z	no
upwards	u	T-Z	no
uranium	u	T-Z	no
urbanization	u	T-Z	no
urbanize	u	T-Z	no
urgency	u	T-Z	no
urinate	u	T-Z	no
urine	u	T-Z	no
us	u	T-Z	no
utilization	u	T-Z	no
utterly	u	T-Z	no
vacancy	v	T-Z	no
vacation	v	T-Z	no
vaccinate	v	T-Z	no
vaccination	v	T-Z	no
vaccine	v	T-Z	no
validate	v	T-Z	no
validity	v	T-Z	no
valve	v	T-Z	no
vanity	v	T-Z	no
vapor	v	T-Z	no
variant	v	T-Z	no
vegetarian	v	T-Z	no
vegetation	v	T-Z	no
veil	v	T-Z	no
vein	v	T-Z	no
velvet	v	T-Z	no
vendor	v	T-Z	no
vent	v	T-Z	no
ventilate	v	T-Z	no
ventilation	v	T-Z	no
venue	v	T-Z	no
verb	v	T-Z	no
verbal	v	T-Z	no
verdict	v	T-Z	no
verge	v	T-Z	no
verification	v	T-Z	no
versatile	v	T-Z	no
verse	v	T-Z	no
versus	v	T-Z	no
vest	v	T-Z	no
veto	v	T-Z	no
viable	v	T-Z	no
vibration	v	T-Z	no
vicinity	v	T-Z	no
vicious	v	T-Z	no
victimize	v	T-Z	no
victorious	v	T-Z	no
victory	v	T-Z	no
viewpoint	v	T-Z	no
vigor	v	T-Z	no
violate	v	T-Z	no
violation	v	T-Z	no
violinist	v	T-Z	no
virgin	v	T-Z	no
virginity	v	T-Z	no
virtual	v	T-Z	no
virtuous	v	T-Z	no
virus	v	T-Z	no
visa	v	T-Z	no
visibility	v	T-Z	no
visionary	v	T-Z	no
visualize	v	T-Z	no
vitality	v	T-Z	no
vocabulary	v	T-Z	no
vocal	v	T-Z	no
vocation	v	T-Z	no
vocational	v	T-Z	no
vogue	v	T-Z	no
void	v	T-Z	no
volatile	v	T-Z	no
volatility	v	T-Z	no
volcanic	v	T-Z	no
voluminous	v	T-Z	no
vote	v	T-Z	no
voter	v	T-Z	no
voucher	v	T-Z	no
vow	v	T-Z	no
vulgar	v	T-Z	no
vulnerability	v	T-Z	no
vulnerable	v	T-Z	no
wagon	w	T-Z	no
waist	w	T-Z	no
waiter	w	T-Z	no
waitress	w	T-Z	no
waive	w	T-Z	no
waiver	w	T-Z	no
wall	w	T-Z	no
ward	w	T-Z	no
wardrobe	w	T-Z	no
ware	w	T-Z	no
warfare	w	T-Z	no
warrant	w	T-Z	no
warranty	w	T-Z	no
warrior	w	T-Z	no
wary	w	T-Z	no
wash	w	T-Z	no
washing	w	T-Z	no
wasteful	w	T-Z	no
watchful	w	T-Z	no
watertight	w	T-Z	no
watt	w	T-Z	no
wavy	w	T-Z	no
weapon	w	T-Z	no
weariness	w	T-Z	no
weary	w	T-Z	no
webcast	w	T-Z	no
website	w	T-Z	no
wed	w	T-Z	no
wedding	w	T-Z	no
wedge	w	T-Z	no
weekly	w	T-Z	no
weird	w	T-Z	no
well-being	w	T-Z	no
well-off	w	T-Z	no
whale	w	T-Z	no
wharf	w	T-Z	no
whatsoever	w	T-Z	no
whereabouts	w	T-Z	no
whereas	w	T-Z	no
whereby	w	T-Z	no
whirl	w	T-Z	no
whisky	w	T-Z	no
whoever	w	T-Z	no
wholesale	w	T-Z	no
wholesome	w	T-Z	no
widespread	w	T-Z	no
widower	w	T-Z	no
wield	w	T-Z	no
wilderness	w	T-Z	no
willpower	w	T-Z	no
winery	w	T-Z	no
wink	w	T-Z	no
wireless	w	T-Z	no
wisdom	w	T-Z	no
wise	w	T-Z	no
witch	w	T-Z	no
withdrawal	w	T-Z	no
wither	w	T-Z	no
withhold	w	T-Z	no
within	w	T-Z	no
witty	w	T-Z	no
wording	w	T-Z	no
workout	w	T-Z	no
worthiness	w	T-Z	no
wrapping	w	T-Z	no
wreckage	w	T-Z	no
wrench	w	T-Z	no
wrestle	w	T-Z	no
wrestling	w	T-Z	no
wretched	w	T-Z	no
wrinkle	w	T-Z	no
writer	w	T-Z	no
writing	w	T-Z	no
xion	x	T-Z	no
yacht	y	T-Z	no
yeah	y	T-Z	no
yearn	y	T-Z	no
yearning	y	T-Z	no
yoga	y	T-Z	no
yoghurt	y	T-Z	no
youngster	y	T-Z	no
youthful	y	T-Z	no
yse	y	T-Z	no
zeal	z	T-Z	no
zealous	z	T-Z	no
zigzag	z	T-Z	no
zip	z	T-Z	no
zipper	z	T-Z	no
zoological	z	T-Z	no
zoology	z	T-Z	no
zoom	z	T-Z	no
